aargang;geografi;geografi.1;kjoenn;aldersgrupper;sysselsatte;andeler;befolkning
2024;1205;Hellerudtoppen;Begge kjønn;50-59 år;449;86.3;520
2024;1205;Hellerudtoppen;Begge kjønn;60 -74 år;251;47.7;526
2024;1206;Tveita;Begge kjønn;15-24 år;260;55.1;472
2024;1206;Tveita;Begge kjønn;25-39 år;1247;82.2;1517
2024;1206;Tveita;Begge kjønn;40-49 år;626;79.0;792
2024;1206;Tveita;Begge kjønn;50-59 år;498;70.8;703
2024;1206;Tveita;Begge kjønn;60 -74 år;289;34.2;846
2024;1207;Teisen;Begge kjønn;15-24 år;306;51.1;599
2024;1207;Teisen;Begge kjønn;25-39 år;1639;84.6;1937
2024;1207;Teisen;Begge kjønn;40-49 år;697;75.4;924
2024;1207;Teisen;Begge kjønn;50-59 år;493;67.1;735
2024;1207;Teisen;Begge kjønn;60 -74 år;216;33.0;654
2024;1301;Manglerud;Begge kjønn;15-24 år;602;50.5;1193
2024;1301;Manglerud;Begge kjønn;25-39 år;2214;85.2;2599
2024;1301;Manglerud;Begge kjønn;40-49 år;1574;86.9;1812
2024;1301;Manglerud;Begge kjønn;50-59 år;1210;81.8;1479
2024;1301;Manglerud;Begge kjønn;60 -74 år;621;41.5;1497
2024;1302;Godlia;Begge kjønn;15-24 år;434;44.9;967
2024;1302;Godlia;Begge kjønn;25-39 år;1598;81.8;1953
2024;1302;Godlia;Begge kjønn;40-49 år;1163;85.5;1360
2024;1302;Godlia;Begge kjønn;50-59 år;1081;84.3;1283
2024;1302;Godlia;Begge kjønn;60 -74 år;566;42.7;1325
2024;1303;Oppsal;Begge kjønn;15-24 år;557;46.0;1212
2024;1303;Oppsal;Begge kjønn;25-39 år;2299;87.9;2616
2024;1303;Oppsal;Begge kjønn;40-49 år;1528;88.0;1736
2024;1303;Oppsal;Begge kjønn;50-59 år;1357;86.0;1578
2024;1303;Oppsal;Begge kjønn;60 -74 år;620;43.1;1437
2024;1304;Bøler;Begge kjønn;15-24 år;413;46.6;887
2024;1304;Bøler;Begge kjønn;25-39 år;1493;85.7;1742
2024;1304;Bøler;Begge kjønn;40-49 år;1128;86.4;1306
2024;1304;Bøler;Begge kjønn;50-59 år;992;81.0;1224
2024;1304;Bøler;Begge kjønn;60 -74 år;493;43.0;1147
2024;1305;Skullerud;Begge kjønn;15-24 år;381;52.4;727
2024;1305;Skullerud;Begge kjønn;25-39 år;1326;79.3;1673
2024;1305;Skullerud;Begge kjønn;40-49 år;801;76.9;1041
2024;1305;Skullerud;Begge kjønn;50-59 år;749;73.9;1013
2024;1305;Skullerud;Begge kjønn;60 -74 år;444;38.0;1167
2024;1306;Abildsø;Begge kjønn;15-24 år;238;47.0;506
2024;1306;Abildsø;Begge kjønn;25-39 år;578;83.2;695
2024;1306;Abildsø;Begge kjønn;40-49 år;583;86.5;674
2024;1306;Abildsø;Begge kjønn;50-59 år;457;84.8;539
2024;1306;Abildsø;Begge kjønn;60 -74 år;237;46.1;514
2024;1401;Ljan;Begge kjønn;15-24 år;331;46.1;718
2024;1401;Ljan;Begge kjønn;25-39 år;802;80.4;997
2024;1401;Ljan;Begge kjønn;40-49 år;761;87.1;874
